id,name,voice,rate,pitch,treatment,source,line
c001,John Wick,en-US-EricNeural,-12%,-6Hz,whisper,rewritten,You should not have taken what was mine.
c002,Joker,en-US-GuyNeural,+13%,+10Hz,manic,flavor,The punchline was already loaded.
c003,Detective L,en-US-BrianNeural,-8%,+4Hz,plain,flavor,Justice works in probabilities.
c004,Bigfoot,en-US-RogerNeural,-20%,-25Hz,beast,rewritten,You walked too far into my woods.
c005,Batman,en-US-ChristopherNeural,-10%,-14Hz,whisper,flavor,Preparation beats power.
c006,Sandworm,en-US-ChristopherNeural,-25%,-30Hz,titan,master,You are standing on my back.
c007,Pandora's Actor,en-US-AndrewMultilingualNeural,+6%,+8Hz,manic,flavor,Every role is useful.
c008,T-1000,en-US-SteffanNeural,-6%,-8Hz,machine,rewritten,Your shape is easy enough to wear.
c009,Time Bomb,en-US-JennyNeural,+5%,+12Hz,machine,master,Ten. Nine. You will not reach eight.
c010,Avatar Aang,en-US-GuyNeural,+10%,+20Hz,hero,rewritten,"Air, water, earth, fire, stand with me!"
c011,Thirteen Lords of Chaos,en-US-BrianMultilingualNeural,-10%,-18Hz,demon,flavor,Reality picks a side.
c012,G-Man,en-US-EricNeural,-25%,-4Hz,void,flavor,"Time, Mr. Freeman."
c013,Doctor Strange,en-US-AndrewNeural,-5%,-6Hz,hero,flavor,Magic trumps everything.
c014,Kizaru,en-US-BrianNeural,-20%,-10Hz,regal,flavor,Light logic.
c015,Avengers,en-US-AriaNeural,-4%,-2Hz,hero,rewritten,Together. That's how this ends for you.
c016,Doom Slayer,en-US-RogerNeural,-15%,-22Hz,machine,rewritten,Hell is empty. I made sure of it.
c017,Gol D. Roger,en-US-AndrewMultilingualNeural,-6%,-10Hz,regal,rewritten,The whole sea already knows my name.
c018,Marshall D. Teach,en-AU-WilliamNeural,+8%,-12Hz,demon,master,"Zehahaha! Whatever you have, I take."
c019,Gilgamesh,en-GB-ThomasNeural,-12%,-6Hz,regal,flavor,Unworthy.
c020,Superman,en-US-AndrewNeural,-4%,-6Hz,hero,rewritten,Stand down. Nobody else gets hurt today.
c021,Light Yagami,en-US-BrianMultilingualNeural,+4%,+6Hz,whisper,flavor,"Ryuk, come help."
c022,Gojo,en-US-BrianNeural,+5%,+6Hz,hero,flavor,Infinity is rude.
c023,Ainz Ooal Gown,en-US-SteffanNeural,-14%,-20Hz,ancient,rewritten,"Kneel, or join the dead who serve me."
c024,Conquest,en-US-RogerNeural,-12%,-24Hz,titan,rewritten,Show me something worth breaking my hands on.
c025,Saitama,en-US-SteffanNeural,-8%,-2Hz,plain,master,"One punch. Sorry, that is how it goes."
c026,Neo,en-US-AndrewNeural,-8%,-4Hz,hero,rewritten,Your bullets stop when I say stop.
c027,Thanos,en-US-ChristopherNeural,-18%,-20Hz,titan,flavor,Balance. At any cost.
c028,Flash,en-US-AndrewNeural,+20%,+12Hz,hero,flavor,Speed of light. And beyond.
c029,Darth Vader,en-US-ChristopherNeural,-22%,-28Hz,machine,master,What remains of me is enough.
c030,Dumbledore,en-GB-RyanNeural,-12%,-8Hz,regal,rewritten,"Shall we discuss this calmly, or not?"
c031,Ragnaros,en-AU-WilliamNeural,-20%,-26Hz,titan,master,You dare wake me from my slumber?
c032,Silver Surfer,en-US-SteffanNeural,-12%,-6Hz,void,flavor,The tide brings worlds.
c033,Yujiro,en-US-RogerNeural,-10%,-18Hz,beast,rewritten,Come on. Entertain me for once.
c034,Yubaba,en-US-MichelleNeural,-6%,-12Hz,ancient,flavor,Are you looking for employment?
c035,Spider-Man,en-US-GuyNeural,+12%,+14Hz,hero,flavor,Responsibility.
c036,General Grievous,en-GB-RyanNeural,-6%,-16Hz,machine,flavor,A fine addition.
c037,Eye of Sauron,en-US-AndrewMultilingualNeural,-18%,-24Hz,void,flavor,Try and hide.
c038,Buddha,en-US-BrianNeural,-10%,-4Hz,regal,flavor,Peace.
c039,Deep Sea King,en-US-BrianMultilingualNeural,-14%,-20Hz,beast,rewritten,Crawl back to your dry little land.
c040,Toji,en-US-EricNeural,-8%,-12Hz,whisper,flavor,No magic. No mercy.
c041,Bill Cipher,en-US-GuyNeural,+18%,+22Hz,manic,rewritten,"Hey there, meat puppets! Did you miss me?"
c042,Giorno - Gold Experience Requiem,en-GB-RyanNeural,-6%,+2Hz,void,flavor,Cause and effect.
c043,Doctor Manhattan,en-US-EricNeural,-16%,-10Hz,void,rewritten,I am already everywhere you will be.
c044,Mastered Ultra Instinct Goku,en-US-GuyNeural,-6%,-5Hz,hero,master,My body moves before I even think.
c045,Rick Prime,en-US-EricNeural,+8%,-8Hz,manic,rewritten,You built a family. I built a body count.
c046,The Watcher,en-US-ChristopherNeural,-12%,-10Hz,void,rewritten,"Every branch of this moment, I have seen."
c047,"Escanor ""The One""",en-US-AndrewMultilingualNeural,-10%,-6Hz,regal,rewritten,Kneel. The sun has come down to you.
c048,Lelouch Lamperouge,en-GB-RyanNeural,-8%,-4Hz,regal,flavor,Obey.
c049,Rimuru Tempest,en-US-BrianMultilingualNeural,-6%,-8Hz,demon,rewritten,"By our master's will, the nation stands."
c050,Aizen,en-US-SteffanNeural,-10%,-6Hz,whisper,flavor,All part of the plan.
c051,Boros,en-US-BrianMultilingualNeural,-6%,-14Hz,demon,rewritten,I crossed the stars to find a fight.
c052,Dormammu,en-US-ChristopherNeural,-14%,-20Hz,titan,rewritten,Your world will burn in my dark dimension.
c053,Mob Psycho,en-US-BrianNeural,-12%,+10Hz,plain,rewritten,I don't want to hurt anyone. Please stop.
c054,Morpheus,en-US-AndrewNeural,-12%,-12Hz,radio,rewritten,Wake up. The world you know is bait.
c055,Death Star,en-US-AvaMultilingualNeural,-6%,-14Hz,machine,rewritten,Target acquired. Commence primary ignition.
c056,Doomsday,en-US-RogerNeural,-20%,-28Hz,beast,rewritten,Kill. Kill. Nothing kills me twice.
c057,Ten Tails,en-US-ChristopherNeural,-22%,-30Hz,titan,rewritten,All chakra returns to me. All of it.
c058,Kaido,en-AU-WilliamNeural,-14%,-22Hz,beast,rewritten,Nothing on this sea can kill me.
c059,Korosensei,en-US-GuyNeural,+14%,+14Hz,manic,rewritten,"Nurufufufu! Class is in session, my students."
c060,Monkey D. Luffy Gear 5,en-US-BrianNeural,+12%,+12Hz,hero,rewritten,Hah! My body does whatever I imagine!
c061,Chaos,en-US-AndrewMultilingualNeural,-18%,-18Hz,void,rewritten,Accept my gift. The price comes later.
c062,S-Class Heroes,en-US-AndrewNeural,+2%,-2Hz,hero,rewritten,"Hero Association, S-Class. Step back, civilians."
c063,Sans,en-US-BrianNeural,-12%,-10Hz,spectral,master,heya. you're gonna have a bad time.
c064,Seven Deadly Sins,en-IE-ConnorNeural,+4%,-4Hz,hero,rewritten,The Sins ride again. Move aside.
c065,Whitebeard,en-US-RogerNeural,-18%,-24Hz,titan,rewritten,Gurararara! This old man still shakes the world.
c066,Elder Centipede,en-AU-WilliamNeural,-16%,-26Hz,beast,rewritten,A billion years I have devoured this world.
c067,Hypnos,en-IE-ConnorNeural,-20%,+8Hz,spectral,rewritten,Mmm… wake me when something interesting dies.
c068,Star Destroyer,en-GB-ThomasNeural,-4%,-8Hz,radio,rewritten,"All batteries, open fire on my mark."
c069,Netero,en-AU-WilliamNeural,-16%,-10Hz,plain,master,My prayers land harder than any fist.
c070,Vergil & Dante & Nero,en-US-AndrewNeural,+4%,-6Hz,hero,rewritten,Three devil hunters. Pick which one kills you.
c071,All for One,en-US-ChristopherNeural,-12%,-16Hz,demon,rewritten,Give me your quirk. I collect everything.
c072,Aladdin Lamp,en-US-GuyNeural,+10%,+6Hz,manic,master,"What is thy wish, master?"
c073,All Might,en-US-AndrewMultilingualNeural,+6%,-4Hz,hero,rewritten,"Stand down, villain. Your evening ends here."
c074,Grand Master Yoda,en-US-RogerNeural,-22%,+10Hz,ancient,rewritten,"Much to learn, this battlefield still has."
c075,Ultron Prime,en-US-EricNeural,-6%,-10Hz,machine,rewritten,Peace requires extinction. I have run the numbers.
c076,Godzilla,en-AU-WilliamNeural,-25%,-30Hz,titan,rewritten,Skreeeonk. The city ends beneath my shadow.
c077,King,en-US-BrianNeural,-6%,-8Hz,plain,rewritten,That sound? Just my heart. Don't worry.
c080,Gandalf the White,en-GB-ThomasNeural,-14%,-10Hz,ancient,rewritten,"I am sent back, until my task is done."
c081,Gordon Freeman,en-US-EricNeural,-18%,-6Hz,plain,master,The crowbar does the talking.
c082,Mahoraga,en-US-ChristopherNeural,-20%,-24Hz,ancient,master,I have already adapted to your attack.
c083,Floor Guardians,en-US-AriaNeural,-6%,-4Hz,regal,rewritten,"For the glory of Nazarick, we descend."
